ФИО;Телефон;Проект;Должность;Дата заявки;Дата выхода;Статус;Источник
Кузнецов Д. И.;+7979*******;Лемана Про;Водитель-экспедитор;19.09.2026;23.09.2026;оформление;Рекомендация
Кузнецов Д. А.;+7929*******;Лемана Про;Водитель категории B;09.09.2026;19.09.2026;собеседование;Рекомендация
Новиков Г. В.;+7969*******;Магнит;Водитель категории B;18.09.2026;24.09.2026;собеседование;Avito
Семёнов О. Э.;+7921*******;Лемана Про;Водитель-экспедитор;14.09.2026;23.09.2026;собеседование;Avito
Богданов Р. Я.;+7913*******;Лемана Про;Водитель категории C;19.09.2026;23.09.2026;собеседование;Avito
Новиков Г. Ю.;+7963*******;Лемана Про;Водитель категории C;14.09.2026;21.09.2026;собеседование;Рекомендация
Лебедев А. К.;+7918*******;Лемана Про;Водитель-экспедитор;19.09.2026;23.09.2026;отказ;HH.ru
Соколов Ю. Х.;+7953*******;Лемана Про;Водитель-экспедитор;20.09.2026;24.09.2026;принят;Рекомендация
Егоров В. Ш.;+7985*******;Лемана Про;Водитель категории B;19.09.2026;29.09.2026;оформление;HH.ru
Новиков Г. Р.;+7975*******;Лемана Про;Водитель категории B;15.09.2026;25.09.2026;принят;Avito
Егоров В. Н.;+7913*******;Лемана Про;Водитель категории B;21.09.2026;25.09.2026;оформление;Telegram
Егоров В. М.;+7910*******;Озон;Водитель категории B;23.09.2026;01.10.2026;собеседование;HH.ru
Лебедев А. Ф.;+7920*******;Лемана Про;Водитель категории C;22.09.2026;27.09.2026;новый;HH.ru
Соколов Ю. И.;+7985*******;ВкусВилл;Водитель категории B;15.09.2026;22.09.2026;оформление;Telegram
Козлов П. Е.;+7945*******;Лемана Про;Водитель категории C;09.09.2026;17.09.2026;отказ;Avito
Кузнецов Д. К.;+7938*******;Лемана Про;Водитель-экспедитор;18.09.2026;20.09.2026;собеседование;Рекомендация
Петров С. В.;+7920*******;Лемана Про;Водитель-экспедитор;21.09.2026;01.10.2026;новый;Telegram
Морозов К. Р.;+7932*******;Лемана Про;Водитель категории C;19.09.2026;28.09.2026;принят;Рекомендация
Соколов Ю. О.;+7956*******;Лемана Про;Водитель-экспедитор;19.09.2026;25.09.2026;принят;Avito
Кузнецов Д. М.;+7935*******;Лемана Про;Водитель категории B;13.09.2026;16.09.2026;новый;Telegram
Сидоров А. Ж.;+7950*******;Лемана Про;Водитель-экспедитор;18.09.2026;25.09.2026;собеседование;HH.ru
Сидоров А. Р.;+7914*******;Лемана Про;Водитель категории C;13.09.2026;18.09.2026;принят;HH.ru
Соколов Ю. Р.;+7930*******;Лемана Про;Водитель категории C;13.09.2026;18.09.2026;оформление;HH.ru
Смирнов В. Ю.;+7947*******;Самокат;Водитель категории C;12.09.2026;18.09.2026;принят;Рекомендация
Богданов Р. Ш.;+7925*******;Лемана Про;Водитель категории B;19.09.2026;29.09.2026;оформление;Avito
Петров С. Ц.;+7925*******;Лемана Про;Водитель-экспедитор;18.09.2026;25.09.2026;новый;Avito
Кузнецов Д. Я.;+7959*******;Х5 Retail;Водитель категории C;23.09.2026;30.09.2026;принят;Avito
Воробьёв Т. Ж.;+7972*******;Самокат;Водитель категории B;16.09.2026;19.09.2026;собеседование;Avito
