Госномер;Марка;Тип;Класс;Проект;Статус;Готовность;Пробег;АТП;ДК до;ОСАГО до;Пропуск СК до
М536РК77;Газель Бизнес;Газель·Фургон;Газель;Самокат;На линии;исправна;46531;Депо Север;13.09.2026;28.09.2026;22.03.2027
А710НК77;Lada Largus;Каблук;Ларгус;ВкусВилл;Резерв;—;474377;Депо Юг;13.09.2026;21.05.2027;23.10.2026
С685ТО177;Газель Next;Газель·Фургон;Газель;Самокат;На линии;исправна;162931;Депо Север;21.01.2027;21.05.2027;нет
С504ЕУ177;Газель Бизнес;Газель·Фургон;Газель;Самокат;Капремонт;—;260671;Депо Юг;20.07.2027;20.02.2027;23.09.2027
О339ТМ197;Lada Largus;Каблук;Ларгус;ВкусВилл;На линии;исправна;359415;Депо Север;21.01.2027;21.05.2027;нет
В887МН77;Газель Next;Газель·Фургон;Газель;ВкусВилл;На линии;исправна;181530;Депо Юг;14.08.2026;21.05.2027;22.12.2026
А970ХУ199;Lada Largus;Каблук;Ларгус;Озон;На линии;исправна;523949;Депо Юг;14.08.2026;20.02.2027;22.12.2026
С081СА99;Газель Next;Газель·Фургон;Газель;Х5 Retail;Капремонт;—;176036;Депо Юг;14.08.2026;22.11.2026;23.09.2027
О042РТ199;ГАЗ-3009;Газель·Борт;Газель;Магнит;На линии;исправна;272670;Депо Юг;13.10.2026;28.09.2026;нет
Н116НВ177;Lada Largus;Каблук;Ларгус;Самокат;На линии;исправна;102790;Депо Юг;11.04.2027;28.09.2026;23.10.2026
Т905УМ99;Ford Transit;Фургон;Газель;ВкусВилл;На линии;исправна;415438;Депо Север;13.09.2026;19.08.2027;нет
Р884КЕ777;Lada Largus;Каблук;Ларгус;Лемана Про;На линии;исправна;431950;Депо Север;07.11.2026;18.10.2026;22.12.2026
Е461ХВ797;ГАЗ-3009;Газель·Борт;Газель;Магнит;На линии;исправна;447521;Депо Север;13.10.2026;22.11.2026;22.12.2026
У043ОО797;Газель Next;Газель·Тент;Газель;Х5 Retail;На линии;исправна;93241;Депо Север;13.10.2026;18.10.2026;23.09.2027
Т685НА197;Lada Largus;Каблук;Ларгус;Магнит;На линии;исправна;77254;Депо Юг;13.10.2026;18.10.2026;нет
С175РА199;Газель Next;Газель·Фургон;Газель;Магнит;На линии;исправна;342270;Депо Юг;11.04.2027;19.08.2027;23.10.2026
Е989НК178;Lada Largus;Каблук;Ларгус;Х5 Retail;На линии;исправна;512666;Депо Юг;11.04.2027;19.08.2027;нет
М622МО199;Газель Next;Газель·Фургон;Газель;Лемана Про;Капремонт;—;463835;Депо Юг;13.09.2026;18.10.2026;22.03.2027
В696УХ777;Газель Next;Газель·Фургон;Газель;Х5 Retail;На линии;исправна;356797;Депо Юг;07.11.2026;18.10.2026;23.10.2026
Х094УО777;Lada Largus;Каблук;Ларгус;ВкусВилл;Резерв;—;167212;Депо Север;11.04.2027;19.08.2027;23.09.2027
Н223РХ797;ГАЗ-3009;Газель·Борт;Газель;Лемана Про;Ремонт;—;228902;Депо Север;13.09.2026;22.11.2026;22.03.2027
А337КХ199;Ford Transit;Фургон;Газель;Лемана Про;Ремонт;—;79498;Депо Север;13.09.2026;18.10.2026;23.09.2027
Т238КМ777;Ford Transit;Фургон;Газель;Лемана Про;На линии;исправна;143374;Депо Север;20.07.2027;20.02.2027;22.03.2027
С441СА178;Газель Бизнес;Газель·Фургон;Газель;Самокат;На линии;исправна;275226;Депо Север;14.08.2026;28.09.2026;нет
Н168КО77;Газель Бизнес;Газель·Фургон;Газель;Лемана Про;На линии;исправна;499568;Депо Юг;21.01.2027;19.08.2027;22.03.2027
К334СМ177;Ford Transit;Фургон;Газель;Самокат;На линии;исправна;85206;Депо Юг;14.08.2026;08.09.2026;22.12.2026
